"Groups/Zones";"zone L21E7";"zone L22E6";"zone L22E7";"zone L23E5";"zone L23E6";"zone L24E5";"zone L24E6";"zone L21E6";"zone L20E7";"Zone L20E8"
"nephrops Group 0";177408315.220178;44071072.1776115;5567205.20955448;36773679.6789742;55828389.5488619;46887276.3946882;11102302.4987181;43957131.7107139;23658341.787688;46417001.8844623
"nephrops Group 1";2179734.08438957;771815.850289528;98411.2047307394;611925.37427459;929330.375152746;780494.843463638;184811.115448042;534190.839830203;287459.00810729;570205.891710899
"nephrops Group 2";6824970.59355964;2437292.69091843;310848.539212084;1929713.12834291;2930680.44443713;2461321.65253605;582809.231721463;1672234.60516798;899860.402640186;1785366.63959857
"nephrops Group 3";10158035.2272055;3686127.05575664;470321.186178036;2910075.59209004;4419630.0849393;3711810.76562242;878908.930240344;2487943.04356762;1338800.11286586;2657257.9568886
"nephrops Group 4";11121822.6150548;4017617.45110214;512706.095114186;3163457.11944369;4804379.65525734;4034941.33757722;955422.083323224;2726238.73999321;1467093.11499731;2909493.1742596
"nephrops Group 5";10974838.1531113;3692292.40189818;470209.418586136;2913771.13523499;4424688.87330747;3716059.37122179;879914.945265932;2701497.62350815;1453951.67009269;2871367.88688699
"nephrops Group 6";10272271.8974758;3033133.60039202;384598.263849606;2419114.41606253;3672877.77147606;3084653.4644239;730406.16770892;2544650.27113157;1369714.09981904;2687892.93623014
"nephrops Group 7";9220210.07398314;2188248.34187092;275054.63574516;1778179.01747394;2698964.16917615;2266715.5546152;536729.016930884;2309754.83061498;1243464.88464002;2412965.09333758
"nephrops Group 8";8187246.32159446;1590081.47761541;198680.921560544;1321435.86444342;2005287.62471866;1684133.75114002;398781.157516236;2068354.08338405;1113638.01241789;2142885.51598618
"nephrops Group 9";7065965.58014484;919656.656037393;112429.714822751;782497.422723712;1186625.17354149;996582.973973116;235977.998572234;1828651.46074073;984832.502620409;1849883.30390199
"nephrops Group 10";6135748.09559227;604943.197146799;73219.43348969;528151.060214646;800645.397084093;672419.217723646;159220.20076997;1609584.78611672;866998.852087502;1606618.65033624
"nephrops Group 11";5387718.1624584;446980.288177052;53992.3412146797;399538.551428602;605613.53850892;508622.39799306;120435.225808554;1421772.18528977;765909.515936379;1410886.46503441
"nephrops Group 12";4861452.9002568;398721.134178727;48549.4902330278;362458.717394552;549513.08099413;461506.62627512;109278.818563445;1276093.96393711;687424.340158772;1273056.42996863
"nephrops Group 13";4427765.28420531;356520.663294912;43558.8479697718;327105.542787099;495938.233255303;416511.979035023;98624.666245499;1159390.45637696;624557.071380751;1159488.12764685
"nephrops Group 14";4052555.42803419;328309.706825997;40206.4359517986;301735.85405259;457473.744815819;384207.713849944;90975.4327719121;1058804.10338172;570366.146737929;1061223.01597823
"nephrops Group 15";3734701.2391834;317465.109803605;38970.3396232684;290190.481486065;439961.277404496;369499.929754739;87492.8191362585;972901.370094054;524074.328400428;977957.498798926
"nephrops Group 16";3428816.29905839;305018.187912507;37477.5109973142;277176.440460672;420196.564534576;352900.605241132;83562.3131185252;891569.019597122;480247.520688413;897831.786762741
"nephrops Group 17";3139064.79223928;296453.917225922;36454.0243497572;267608.985059029;405652.916573902;340686.173708546;80670.0932211029;814524.423526194;438728.53382968;821927.007563483
"nephrops Group 18";2856826.81879284;286289.279547871;35198.6680511675;256751.876747333;389151.176931233;326827.245771141;77388.4777787005;740178.243822091;398666.103399224;747995.070354913
"nephrops Group 19";2591809.16921229;284224.866128219;34994.2149416413;252737.220062832;383054.50623431;321706.978352289;76176.064473225;669370.453193556;360506.018189824;678564.963667698
"nephrops Group 20";2334197.04223491;279577.588523709;34454.7844727285;246159.670581852;373087.432916548;313336.166919747;74193.9642569211;601167.172825319;323754.678489309;611084.553657527
"nephrops Group 21";2080646.35613141;263639.361768123;32497.6689735221;229945.396206883;348502.992134403;292689.01088899;69304.9839275439;534744.957170341;287975.46285505;544691.547017938
"nephrops Group 22";1812490.29837909;221720.777594806;27280.4010257253;193337.745756173;292982.211116984;246060.078436365;58263.8539432912;465950.446864395;250936.210685058;474507.819901171
"nephrops Group 23";1521385.11732064;154442.087117405;18881.709327931;136480.740407501;206755.242439604;173642.662391899;41116.343554049;393645.879915625;212029.094349153;398357.263228568
"nephrops Group 24";1251579.94420872;102399.473371237;12449.6918244545;92421.2403379642;139967.745270441;117551.418048567;27834.6601185032;325761.894329722;175492.916255016;327764.190445754
"nephrops Group 25";1020034.29150689;67861.3817787047;8201.94915751397;62330.9288532548;94370.2369202104;79256.5112063189;18766.9199421718;267259.946386991;144001.467412983;267171.949007809
"nephrops Group 26";723494.228362934;31643.2769365784;3798.8337897517;29896.3651230471;45248.179592343;38001.5243148981;8998.2709766479;193481.867538263;104293.275002345;189578.12100948
"nephrops Group 27";486364.384091496;10898.0907603708;1299.17076326119;10981.7569802063;16612.7840447201;13952.188187487;3303.69826715018;133125.93157084;71797.7971991849;127509.857594192
"nephrops Group 28";183963.218684465;2326.68868920667;268.655790650396;2393.09183121854;3616.2704469329;3037.11200221684;719.148962444721;52325.7064385827;28234.4233824258;48252.1627913904
"nephrops Group 29";109574.070893194;2481.72237727964;296.224909187598;2367.47040574202;3580.00196284545;3006.65204355483;711.936436975821;30273.5600811095;16332.6708560007;28735.1923810527
"nephrops Group 30";96889.5627622218;2136.08755035037;254.825299021319;2025.04897445071;3060.89904831286;2570.68528851033;608.705130615767;26635.693385961;14370.5346300078;25409.9736308461
"nephrops Group 31";24287.5620222605;443.328193748347;52.0777656617237;419.466302787729;633.690169717268;532.202457857502;126.018679949699;6776.51793771048;3656.67979536065;6370.62324986225
"nephrops Group 32";8771.56426896221;554.163544239427;68.0995567021454;463.358435566614;701.557100169226;589.20026044278;139.515024688027;2350.09166931291;1267.20811229948;2299.08694914311
"nephrops Group 33";5700.03637319984;897.507893377455;113.270075416765;685.901069381637;1040.19993551401;873.608253368943;206.859170335123;1484.93062519605;800.221282907901;1493.12720113368
"nephrops Group 34";0;0;0;0;0;0;0;0;0;0
"nephrops Group 35";2179950.56934653;771901.61178192;98422.1771986704;611993.280473376;929433.5385421;780581.484872957;184831.631016638;534243.713869394;287487.457426023;570262.516416516
"nephrops Group 36";6824521.02469997;2431354.25721457;310038.915373381;1925071.05369094;2923611.25863508;2455384.62173032;581403.419377094;1672377.9305037;899939.079407406;1785252.12386706
"nephrops Group 37";10156228.8000168;3661243.02216581;467027.221216681;2891373.37210189;4391140.83133035;3687884.16628765;873243.42002081;2487937.39666967;1338804.0758551;2656799.40022888
"nephrops Group 38";11132298.7101792;4016980.22092971;512298.212503306;3162579.7787745;4802827.5158139;4033637.77873064;955113.417396078;2727304.16447708;1467626.92323198;2912162.95336732
"nephrops Group 39";11015271.2782037;3795070.05169874;483045.594550792;2993593.09215411;4545665.84025358;3817661.45095989;903973.007718863;2703709.65999379;1454989.30089618;2881666.0637669
"nephrops Group 40";10252086.617012;3037410.43848463;384161.229268512;2426032.987537;3682936.47051164;3093101.22739295;732406.489056876;2534322.77926834;1363970.30328973;2682277.64253802
"nephrops Group 41";18690506.7340816;3860933.24887015;484162.924230542;3239826.77541588;4916558.18016047;4129154.07674425;977730.445205032;4672544.46836393;2515240.03726094;4890969.99012711
"nephrops Group 42";18172025.6631077;3406152.85023028;426571.354243198;2906842.19398456;4411027.01439949;3704585.50712039;877198.082187543;4553842.13849109;2451429.04004712;4755459.71462606
"nephrops Group 43";16003457.3683088;2711573.38394615;339145.404828428;2366232.50828917;3590574.23570697;3015531.12969333;714038.890088942;4017774.73642508;2162898.23448815;4188053.23547012
"nephrops Group 44";13690744.5290636;2343266.14385704;293056.870720568;2048270.20297393;3108136.10464001;2610357.16394826;618098.919201304;3434631.12697157;1848933.71328514;3582749.39519432
"nephrops Group 45";11004840.0153206;1774585.05769692;221456.816941073;1570770.61057573;2383495.22587125;2001770.07332506;473993.343094967;2765558.60175944;1488767.44898385;2879891.03866456
"nephrops Group 46";8594393.94345438;1360758.0981306;169655.46311236;1212419.21724438;1839765.90186536;1545120.9149923;365864.710309428;2160220.13342775;1162886.82147495;2249071.35011298
"nephrops Group 47";6627032.66320278;1129053.12293764;141016.524415189;1000421.50222964;1518260.62841235;1275105.84308077;301928.622780262;1660714.29733427;893946.218716321;1734140.76556089
"nephrops Group 48";5053555.01677622;1007478.59067925;126397.05258897;876082.238701578;1329821.3796046;1116845.80345122;264454.685957065;1259103.15721627;677706.636759305;1322289.04821519
"nephrops Group 49";3617811.45961084;728095.557611883;91348.8172819954;635640.418582454;964887.627497263;810357.476650539;191882.201946186;900368.021458845;484609.590099833;946601.196730159
"nephrops Group 50";2473587.97154752;511213.754597999;64156.1545416626;446304.841152784;677516.981411312;569010.251347552;134734.290858657;614895.554093871;330948.970376171;647196.839095367
"nephrops Group 51";1579977.82607708;344230.878645472;43327.4859844493;299946.647903459;455359.320284665;382431.921852197;90554.9481234156;391323.295425433;210612.456419984;413379.389150991
"nephrops Group 52";847775.964554219;135128.6119626;16871.7918252968;124339.151479694;188711.998261628;158489.107298049;37528.1770935639;211789.88072406;114000.698913695;221836.415239885
"nephrops Group 53";276433.263989176;11425.5072382211;1387.84819468239;11577.3693339175;17550.5991363312;14739.8088901942;3490.19669418824;74159.0858022249;39964.62757754;72415.2263467702
"nephrops Group 54";160161.594081312;13884.7679962099;1720.25434563417;12530.8128205766;19005.6383515447;15961.8184519981;3779.55280217088;42101.9630202554;22684.474421825;41948.0833670855
"nephrops Group 55";93039.1334863287;15894.2321109976;1990.54524587114;13523.0634366437;20520.3779555885;17233.9671751603;4080.78121708269;23687.3714155611;12754.8193819091;24353.4052501974
"nephrops Group 56";5406.26449922051;1521.80597463638;192.046404181399;1216.44810628546;1846.59942891862;1550.8600286276;367.223658419727;1356.39693375823;730.257845545827;1414.78006238053
"nephrops Group 57";3282.59744076417;1047.07436863073;133.216094202162;836.559660972327;1270.23341490646;1066.80106110461;252.604736232423;807.073943269377;434.343359580666;858.78536890518
